Epoch: [1][800/1406], lr: 0.00100	Time 0.609 (0.632)	Data 0.000 (0.009)	Loss 1.8977 (1.9246)	Prec@1 20.000 (16.654)	Prec@5 80.000 (82.114)
Epoch: [1][820/1406], lr: 0.00100	Time 0.609 (0.632)	Data 0.000 (0.008)	Loss 1.8370 (1.9251)	Prec@1 20.000 (16.598)	Prec@5 73.333 (82.030)
Epoch: [1][840/1406], lr: 0.00100	Time 0.609 (0.632)	Data 0.000 (0.008)	Loss 2.1666 (1.9243)	Prec@1 13.333 (16.607)	Prec@5 80.000 (82.037)
Epoch: [1][860/1406], lr: 0.00100	Time 0.625 (0.632)	Data 0.000 (0.008)	Loss 1.6868 (1.9243)	Prec@1 26.667 (16.632)	Prec@5 100.000 (82.075)
Epoch: [1][880/1406], lr: 0.00100	Time 0.625 (0.632)	Data 0.000 (0.008)	Loss 1.8194 (1.9232)	Prec@1 13.333 (16.617)	Prec@5 80.000 (81.998)
Epoch: [1][900/1406], lr: 0.00100	Time 0.672 (0.632)	Data 0.000 (0.008)	Loss 1.8503 (1.9223)	Prec@1 13.333 (16.589)	Prec@5 86.667 (82.005)
Epoch: [1][920/1406], lr: 0.00100	Time 0.609 (0.631)	Data 0.000 (0.007)	Loss 1.7396 (1.9220)	Prec@1 26.667 (16.562)	Prec@5 100.000 (82.005)
Epoch: [1][940/1406], lr: 0.00100	Time 0.625 (0.631)	Data 0.000 (0.007)	Loss 1.8040 (1.9220)	Prec@1 13.333 (16.529)	Prec@5 86.667 (81.977)
Epoch: [1][960/1406], lr: 0.00100	Time 0.625 (0.631)	Data 0.000 (0.007)	Loss 1.7903 (1.9222)	Prec@1 20.000 (16.483)	Prec@5 80.000 (81.991)
Epoch: [1][980/1406], lr: 0.00100	Time 0.625 (0.631)	Data 0.000 (0.007)	Loss 1.7714 (1.9221)	Prec@1 26.667 (16.378)	Prec@5 93.333 (81.937)
Epoch: [1][1000/1406], lr: 0.00100	Time 0.625 (0.631)	Data 0.000 (0.007)	Loss 1.8716 (1.9229)	Prec@1 20.000 (16.404)	Prec@5 60.000 (81.865)
Epoch: [1][1020/1406], lr: 0.00100	Time 0.625 (0.631)	Data 0.000 (0.007)	Loss 1.7801 (1.9219)	Prec@1 26.667 (16.422)	Prec@5 86.667 (81.894)
Epoch: [1][1040/1406], lr: 0.00100	Time 0.625 (0.631)	Data 0.000 (0.007)	Loss 1.7547 (1.9214)	Prec@1 33.333 (16.427)	Prec@5 86.667 (81.883)
Epoch: [1][1060/1406], lr: 0.00100	Time 0.656 (0.631)	Data 0.000 (0.006)	Loss 1.8467 (1.9201)	Prec@1 13.333 (16.418)	Prec@5 80.000 (81.885)
Epoch: [1][1080/1406], lr: 0.00100	Time 0.609 (0.631)	Data 0.000 (0.006)	Loss 1.8171 (1.9196)	Prec@1 6.667 (16.417)	Prec@5 93.333 (81.832)
Epoch: [1][1100/1406], lr: 0.00100	Time 0.625 (0.631)	Data 0.000 (0.006)	Loss 1.8534 (1.9188)	Prec@1 0.000 (16.446)	Prec@5 86.667 (81.835)
Epoch: [1][1120/1406], lr: 0.00100	Time 0.625 (0.631)	Data 0.000 (0.006)	Loss 1.8827 (1.9177)	Prec@1 13.333 (16.414)	Prec@5 86.667 (81.832)
Epoch: [1][1140/1406], lr: 0.00100	Time 0.625 (0.631)	Data 0.000 (0.006)	Loss 1.7959 (1.9173)	Prec@1 20.000 (16.453)	Prec@5 86.667 (81.922)
Epoch: [1][1160/1406], lr: 0.00100	Time 0.609 (0.630)	Data 0.000 (0.006)	Loss 1.8132 (1.9177)	Prec@1 20.000 (16.417)	Prec@5 93.333 (81.970)
Epoch: [1][1180/1406], lr: 0.00100	Time 0.625 (0.630)	Data 0.000 (0.006)	Loss 1.8299 (1.9175)	Prec@1 6.667 (16.336)	Prec@5 80.000 (81.953)
Epoch: [1][1200/1406], lr: 0.00100	Time 0.625 (0.630)	Data 0.000 (0.006)	Loss 1.7783 (1.9166)	Prec@1 6.667 (16.359)	Prec@5 86.667 (81.976)
Epoch: [1][1220/1406], lr: 0.00100	Time 0.609 (0.630)	Data 0.000 (0.006)	Loss 1.8656 (1.9162)	Prec@1 0.000 (16.282)	Prec@5 60.000 (81.906)
Epoch: [1][1240/1406], lr: 0.00100	Time 0.609 (0.630)	Data 0.000 (0.006)	Loss 1.8236 (1.9163)	Prec@1 13.333 (16.272)	Prec@5 93.333 (81.918)
Epoch: [1][1260/1406], lr: 0.00100	Time 0.625 (0.630)	Data 0.000 (0.005)	Loss 1.8032 (1.9154)	Prec@1 13.333 (16.246)	Prec@5 80.000 (81.924)
Epoch: [1][1280/1406], lr: 0.00100	Time 0.641 (0.630)	Data 0.000 (0.005)	Loss 1.7284 (1.9154)	Prec@1 33.333 (16.258)	Prec@5 100.000 (81.952)
Epoch: [1][1300/1406], lr: 0.00100	Time 0.625 (0.630)	Data 0.016 (0.005)	Loss 1.9192 (1.9159)	Prec@1 13.333 (16.239)	Prec@5 53.333 (81.932)
Epoch: [1][1320/1406], lr: 0.00100	Time 0.609 (0.630)	Data 0.000 (0.005)	Loss 1.7903 (1.9165)	Prec@1 20.000 (16.210)	Prec@5 80.000 (81.832)
Epoch: [1][1340/1406], lr: 0.00100	Time 0.625 (0.630)	Data 0.000 (0.005)	Loss 1.8207 (1.9162)	Prec@1 13.333 (16.222)	Prec@5 73.333 (81.805)
Epoch: [1][1360/1406], lr: 0.00100	Time 0.625 (0.629)	Data 0.000 (0.005)	Loss 1.8150 (1.9153)	Prec@1 20.000 (16.233)	Prec@5 73.333 (81.773)
Epoch: [1][1380/1406], lr: 0.00100	Time 0.625 (0.629)	Data 0.000 (0.005)	Loss 1.8800 (1.9158)	Prec@1 0.000 (16.273)	Prec@5 80.000 (81.738)
Epoch: [1][1400/1406], lr: 0.00100	Time 0.594 (0.629)	Data 0.000 (0.005)	Loss 1.8192 (1.9163)	Prec@1 13.333 (16.279)	Prec@5 86.667 (81.718)
Epoch: [2][0/1406], lr: 0.00100	Time 6.844 (6.844)	Data 6.109 (6.109)	Loss 1.8164 (1.8164)	Prec@1 13.333 (13.333)	Prec@5 86.667 (86.667)
